subject,school,grade,code,content,text_count
과학,초등학교,3학년,4과02-03,동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.,51
과학,초등학교,4학년,4과03-03,식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.,66
과학,초등학교,3학년,4과05-03,다양한 물질의 성질을 이용하여 쓰임새 있는 물체를 설계할 수 있다.,13
과학,초등학교,3학년,4과06-02,"바닷물의 특징을 육지의 물과 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사할 수 있다.",110
과학,초등학교,3학년,4과07-01,여러 가지 물체를 이용하여 소리를 내보고 소리가 나는 물체는 떨림이 있음을 설명할 수 있다.,58
과학,초등학교,3학년,4과07-02,"큰 소리와 작은 소리, 높은 소리와 낮은 소리를 구분하고, 세기와 높낮이가 다른 소리를 낼 수 있다.",115
과학,초등학교,4학년,4과10-03,물의 상태 변화를 이용하여 물을 얻을 수 있는 장치를 설계하고 만들 수 있다.,93
과학,초등학교,4학년,4과11-03,화성암을 관찰하고 분류할 수 있다.,107
과학,초등학교,5학년,4과12-02,균류⋅원생생물⋅세균이 우리 생활에 미치는 영향을 조사하여 발표할 수 있다.,124
과학,초등학교,5학년,4과12-03,우리 생활에 생명과학이 이용되는 사례를 소개하는 자료를 만들어 공유할 수 있다.,103
과학,초등학교,5학년,4과14-03,"인간 활동이 생태계에 미치는 영향을 조사하고, 생태계 보전을 위해 우리가 할 수 있는 일을 토의하여 실천할 수 있다.",81
과학,초등학교,6학년,4과15-02,"온도나 압력에 따라 기체의 부피가 달라지는 현상을 관찰하고, 우리 주변에서 예를 찾을 수 있다.",126
과학,초등학교,6학년,4과15-03,"일상생활에서 이용되는 기체의 종류와 성질을 조사하고, 여러 가지 기체에 대해 흥미를 느낄 수 있다.",50
과학,초등학교,5학년,6과03-02,"용질이나 용매의 양에 따라 용액의 진하기가 달라짐을 관찰하고, 용액의 상대적인 진하기를 비교할 수 있다.",118
과학,초등학교,6학년,6과04-01,뼈와 근육의 생김새를 관찰하고 모형을 만들어 몸이 움직이는 원리를 설명할 수 있다.,85
과학,초등학교,4학년,6과05-02,"물에 용해되는 성질을 이용하여 고체 혼합물을 분리하고, 물을 증발시켜 물에 용해된 고체 물질을 분리할 수 있다.",121
과학,초등학교,5학년,6과06-01,"기상 요소를 조사하고, 날씨가 우리 생활에 주는 영향을 인식할 수 있다.",115
과학,초등학교,5학년,6과07-02,온도가 다른 두 물체가 접촉했을 때 두 물체의 온도 변화를 관찰하고 그 원인을 추리할 수 있다.,110
과학,초등학교,5학년,6과07-04,"일상생활에서 단열을 이용하는 사례를 조사하고, 온도를 오랫동안 일정하게 유지할 수 있는 장치를 창의적으로 만들 수 있다.",4
과학,초등학교,5학년,6과09-01,여러 가지 용액에 지시약을 넣었을 때의 변화를 관찰하여 용액을 산성 용액과 염기성 용액으로 분류할 수 있다.,99
과학,초등학교,5학년,6과09-02,"산성 용액과 염기성 용액의 성질을 관찰하고, 산성 용액과 염기성 용액을 섞을 때 용액의 성질 변화를 실험을 통해 추론할 수 있다.",152
과학,초등학교,5학년,6과10-03,속력과 관련된 안전 수칙과 안전장치를 조사한 결과를 공유하고 일상생활에서 교통안전을 실천할 수 있다.,143
과학,초등학교,6학년,6과11-01,생물을 이루고 있는 기본 단위인 세포를 현미경으로 관찰할 수 있다.,68
과학,초등학교,6학년,6과12-02,"지구의 자전을 알고, 낮과 밤이 생기는 이유를 설명할 수 있다.",13
