subject,num_rows,num_candidates,num_samples,top_k,sample_step1_prompt_tokens,sample_step2_prompt_tokens,sample_max_prompt_tokens,total_step1_prompt_tokens,total_step2_prompt_tokens,total_prompt_tokens,avg_step1_prompt_tokens,avg_step2_prompt_tokens,avg_prompt_tokens
과학,190,190,200,15,948,1774,1774,201660,366860,568520,1008.3,1834.3,2842.6
국어,209,209,200,15,764,1439,1439,153119,288119,441238,765.595,1440.595,2206.19
기술가정,86,86,172,15,802,1636,1636,137247,280695,417942,797.9476744186046,1631.9476744186047,2429.8953488372094
도덕,21,21,42,15,801,1795,1795,33361,75109,108470,794.3095238095239,1788.3095238095239,2582.6190476190477
사회,173,173,200,15,1034,1970,1970,214298,401498,615796,1071.49,2007.49,3078.98
사회문화,13,13,26,15,871,1614,1614,22598,41916,64514,869.1538461538462,1612.1538461538462,2481.3076923076924
수학,241,241,200,15,736,1335,1335,140928,260728,401656,704.64,1303.64,2008.28
영어,84,84,168,15,600,1183,1183,96175,194119,290294,572.4702380952381,1155.470238095238,1727.9404761904761
정보,54,54,108,15,667,1297,1297,70463,138503,208966,652.4351851851852,1282.4351851851852,1934.8703703703704
TOTAL,1071,,1316,,,,,1069849,2047547,3117396,813.0,1555.9,2368.8
