subject,num_rows,num_candidates,num_samples,sample_prompt_tokens,total_prompt_tokens,avg_prompt_tokens
과학,190,30,950,1714,1676629,1764.8726315789474
국어,209,30,999,1505,1503280,1504.7847847847847
기술가정,86,30,430,1884,809895,1883.4767441860465
도덕,21,21,105,1652,172863,1646.3142857142857
사회,173,30,865,1998,1742830,2014.8323699421965
사회문화,13,13,65,1059,68923,1060.3538461538462
수학,241,30,999,1404,1373254,1374.6286286286286
영어,84,30,420,1423,586017,1395.2785714285715
정보,54,30,270,1436,383235,1419.388888888889
TOTAL,1071,,5103,,8316926,1629.8
