no,subject,match_type,cos_sim,true_content,pred_content
1,도덕,invalid,-1.0,"외집단에 대한 편견을 비판적으로 분석하고, 타문화⋅타종교⋅타인종을 존중해야 하는 이유에 근거하여 차이와 다양성에 대한 열린 마음을 기른다.",INVALID
2,사회문화,invalid,-1.0,"사회현상의 탐구를 위해 사회현상의 특징에 대한 이해와 사회학적 상상력이 필요함을 인식하고, 사회현상에 대한 다양한 관점을 비교한다.",INVALID
3,사회문화,invalid,-1.0,"사회현상의 탐구를 위해 사회현상의 특징에 대한 이해와 사회학적 상상력이 필요함을 인식하고, 사회현상에 대한 다양한 관점을 비교한다.",INVALID
4,사회문화,invalid,-1.0,"사회현상의 탐구를 위해 사회현상의 특징에 대한 이해와 사회학적 상상력이 필요함을 인식하고, 사회현상에 대한 다양한 관점을 비교한다.",INVALID
5,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
6,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
7,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
8,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
9,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
10,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
11,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
12,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
13,사회문화,invalid,-1.0,사회 집단 및 사회 조직의 유형과 변화 양상에 대한 이해를 바탕으로 사회 집단 및 사회 조직이 개인의 사회생활과 사회적 관계에 미치는 영향을 설명한다.,INVALID
14,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
15,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
16,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
17,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
18,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
19,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
20,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
21,사회문화,invalid,-1.0,"사회 변동이 다양한 요인의 복합적인 상호 작용의 산물이라는 점을 설명하고, 현대 사회의 변동 과정에서 나타나는 다양한 사회 운동의 유형과 특징을 탐구한다.",INVALID
22,사회문화,invalid,-1.0,"하위문화와 주류 문화의 관계에 대한 이해를 바탕으로 다문화 사회의 이주민 문화에 대한 서로 다른 관점을 비교하고, 이주민 문화가 갖는 의의에 기초하여 문화 다양성을 증진하기 위한 방안을 제시한다.",INVALID
23,사회문화,invalid,-1.0,"문화 변동의 다양한 요인과 양상, 문화 변동 과정에서 발생하는 문제점을 이해하고, 문화의 세계화로 인해 나타나는 쟁점에 대해 탐구한다.",INVALID
24,사회문화,invalid,-1.0,"현대 사회에서 나타나는 다양한 사회 불평등 양상을 분석하고, 차별받는 사람들의 입장에 대한 공감을 바탕으로 다양한 불평등 현상에 대한 해결 방안을 모색한다.",INVALID
25,수학,invalid,-1.0,"실생활 자료를 그림그래프로 나타내고, 이를 활용할 수 있다.",INVALID
26,수학,invalid,-1.0,"이차부등식과 이차함수를 연결하여 그 관계를 설명하고, 이차부등식과 연립이차부등식을 풀 수 있다.",INVALID
27,수학,invalid,-1.0,"미지수가 2개인 연립일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",INVALID
28,수학,invalid,-1.0,"정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.",INVALID
29,수학,invalid,-1.0,"확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다.",INVALID
30,수학,invalid,-1.0,"도형의 합동을 이해하고, 합동인 도형의 성질을 탐구하고 설명할 수 있다.",INVALID
31,수학,invalid,-1.0,"한 양이 변할 때 다른 양이 그에 종속하여 변하는 대응 관계를 나타낸 표에서 규칙을 찾아 설명하고, □, △ 등을 사용하여 식으로 나타낼 수 있다.",INVALID
32,수학,invalid,-1.0,"다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다.",INVALID
33,수학,invalid,-1.0,"다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.",INVALID
34,수학,invalid,-1.0,"여러 가지 방법으로 삼각형과 사각형의 내각의 크기의 합을 추론하고, 자신의 추론 과정을 설명할 수 있다.",INVALID
35,수학,invalid,-1.0,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다.",INVALID
36,수학,invalid,-1.0,이차함수의 개념을 이해한다.,INVALID
37,수학,invalid,-1.0,점과 직선 사이의 거리를 구할 수 있다.,INVALID
38,수학,invalid,-1.0,사각형의 성질을 이해하고 설명할 수 있다.,INVALID
39,수학,invalid,-1.0,주어진 도형을 이용하여 여러 가지 모양을 만들거나 채울 수 있다.,INVALID
40,수학,invalid,-1.0,다각형과 정다각형의 의미를 안다.,INVALID
41,수학,invalid,-1.0,원의 현에 관한 성질과 접선에 관한 성질을 이해한다.,INVALID
42,수학,invalid,-1.0,회전체의 성질을 이해한다.,INVALID
43,수학,invalid,-1.0,"소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.",INVALID
44,수학,invalid,-1.0,"일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다.",INVALID
45,수학,invalid,-1.0,원의 방정식을 구할 수 있다.,INVALID
46,수학,invalid,-1.0,"원뿔과 구를 알고, 구성 요소와 성질을 이해한다.",INVALID
47,수학,invalid,-1.0,"삼각비의 뜻을 알고, 간단한 삼각비의 값을 구할 수 있다.",INVALID
48,수학,invalid,-1.0,"정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다.",INVALID
49,수학,invalid,-1.0,"‘(단항식)  (다항식)’, ‘(다항식)  (단항식)’과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다.",INVALID
50,수학,invalid,-1.0,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다.",INVALID
51,수학,invalid,-1.0,"원기둥을 알고, 구성 요소, 성질, 전개도를 이해한다.",INVALID
52,수학,invalid,-1.0,"도형의 닮음의 뜻과 닮은 도형의 성질을 이해하고, 닮음비를 구할 수 있다.",INVALID
53,수학,invalid,-1.0,정수와 유리수의 대소 관계를 판단할 수 있다.,INVALID
54,수학,invalid,-1.0,"다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.",INVALID
55,수학,invalid,-1.0,"일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",INVALID
56,수학,invalid,-1.0,"자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다.",INVALID
57,수학,invalid,-1.0,"각기둥과 각뿔을 알고, 구성 요소와 성질을 이해한다.",INVALID
58,수학,invalid,-1.0,"순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",INVALID
59,수학,invalid,-1.0,피타고라스 정리를 이해하고 정당화할 수 있다.,INVALID
60,수학,invalid,-1.0,"부등식과 그 해의 뜻을 알고, 부등식의 성질을 설명할 수 있다.",INVALID
61,수학,invalid,-1.0,"선분의 내분과 외분을 이해하고, 내분점과 외분점의 좌표를 구할 수 있다.",INVALID
62,수학,invalid,-1.0,"점, 선, 면, 각을 이해하고, 실생활 상황과 연결하여 점, 직선, 평면의 위치 관계를 설명할 수 있다.",INVALID
63,수학,invalid,-1.0,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다.",INVALID
64,수학,invalid,-1.0,다항식의 곱셈과 인수분해를 할 수 있다.,INVALID
65,수학,invalid,-1.0,"명제와 조건의 뜻을 알고, ‘모든’, ‘어떤’을 포함한 명제를 이해하고 설명할 수 있다.",INVALID
66,수학,invalid,-1.0,"비율을 이해하고, 비율을 분수, 소수, 백분율로 나타낼 수 있다.",INVALID
67,수학,invalid,-1.0,이차함수의 그래프와 직선의 위치 관계를 판단할 수 있다.,INVALID
68,수학,invalid,-1.0,"순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다.",INVALID
69,수학,invalid,-1.0,좌표평면에서 원과 직선의 위치 관계를 이해한다.,INVALID
70,수학,invalid,-1.0,경우의 수를 구할 수 있다.,INVALID
71,영어,invalid,-1.0,말이나 글에 포함된 표현의 함축적 의미를 추론한다.,INVALID
72,영어,invalid,-1.0,"자신의 생각이나 의견, 감정, 감상 등을 표현한다.",INVALID
73,영어,invalid,-1.0,일상생활이나 친숙한 일반적 주제에 관하여 듣거나 읽고 세부 정보를 설명할 수 있다,INVALID
74,영어,invalid,-1.0,일상생활이나 친숙한 일반적 주제에 관해 자신의 의견이나 감정을 표현할 수 있다.,INVALID
75,영어,invalid,-1.0,일상생활이나 친숙한 일반적 주제에 관해 자신의 의견이나 감정을 표현할 수 있다.,INVALID
76,영어,invalid,-1.0,일상생활이나 친숙한 일반적 주제에 관한 정보를 묻고 답할 수 있다.,INVALID
77,영어,invalid,-1.0,일상생활이나 친숙한 일반적 주제에 관한 정보를 묻고 답할 수 있다.,INVALID
78,영어,invalid,-1.0,자기 주변 주제에 관한 담화의 주요 정보를 파악한다.,INVALID
79,영어,invalid,-1.0,"자신, 주변 사람이나 사물의 소개나 묘사를 쉽고 간단한 문장으로 말하거나 보고 쓴다.",INVALID
